Golden eagle,Accipitridae,Accipitriformes,Aquila
Goliath heron,Ardeidae,Pelecaniformes,Ardea
Graceful prinia,Cisticolidae,Passeriformes,Prinia
Great black-backed gull,Laridae,Charadriiformes,Larus
Great bustard,Otididae,Otidiformes,Otis
Great cormorant,Phalacrocoracidae,Suliformes,Phalacrocorax
,,,
Great egret,Ardeidae,Pelecaniformes,Ardea
Great grey shrike,Laniidae,Passeriformes,Lanius
Great knot,Scolopacidae,Charadriiformes,Calidris
Great reed warbler,Acrocephalidae,Passeriformes,Acrocephalus
Great shearwater,Procellariidae,Procellariiformes,Ardenna
Great skua,Stercorariidae,Charadriiformes,Stercorarius
Great snipe,Scolopacidae,Charadriiformes,Gallinago
Great spotted cuckoo,Cuculidae,Cuculiformes,Clamator
Great tit,Paridae,Passeriformes,Parus
Great white pelican,Pelecanidae,Pelecaniformes,Pelecanus
Greater crested tern,Laridae,Charadriiformes,Thalasseus
Greater flamingo,Phoenicopteridae,Phoenicopteriformes,Phoenicopterus
Greater hoopoe-lark,Alaudidae,Passeriformes,Alaemon
Greater painted-snipe,Rostratulidae,Charadriiformes,Rostratula
Greater sand plover,Charadriidae,Charadriiformes,Charadrius
Greater scaup,Anatidae,Anseriformes,Aythya
Greater short-toed lark,Alaudidae,Passeriformes,Calandrella
Greater spotted eagle,Accipitridae,Accipitriformes,Clanga
Greater white-fronted goose,Anatidae,Anseriformes,Anser
Green bee-eater,Meropidae,Coraciiformes,Merops
Green sandpiper,Scolopacidae,Charadriiformes,Tringa
Green warbler,Phylloscopidae,Passeriformes,Phylloscopus
Grey-headed gull,Laridae,Charadriiformes,Chroicocephalus
Grey heron,Ardeidae,Pelecaniformes,Ardea
Grey hypocolius,Hypocoliidae,Passeriformes,Hypocolius
Grey plover,Charadriidae,Charadriiformes,Pluvialis
Grey wagtail,Motacillidae,Passeriformes,Motacilla
Greylag goose,Anatidae,Anseriformes,Anser
Griffon vulture,Accipitridae,Accipitriformes,Gyps
Gull-Billed Tern,,,
Hawfinch,Fringillidae,Passeriformes,Coccothraustes
Hen harrier,Accipitridae,Accipitriformes,Circus
Hooded crow,Corvidae,Passeriformes,Corvus
Hooded wheatear,Muscicapidae,Passeriformes,Oenanthe
Horned lark,Alaudidae,Passeriformes,Eremophila
House crow,Corvidae,Passeriformes,Corvus
House sparrow,Passeridae,Passeriformes,Passer
Hume's leaf warbler,Phylloscopidae,Passeriformes,Phylloscopus
Hume's short-toed lark,Alaudidae,Passeriformes,Calandrella
Icterine warbler,Acrocephalidae,Passeriformes,Hippolais
Indian silverbill,Estrildidae,Passeriformes,Euodice
Intermediate egret,Ardeidae,Pelecaniformes,Ardea
Isabelline shrike,Laniidae,Passeriformes,Lanius
Isabelline wheatear,Muscicapidae,Passeriformes,Oenanthe
Jack snipe,Scolopacidae,Charadriiformes,Lymnocryptes
Kentish plover,Charadriidae,Charadriiformes,Charadrius
Kittlitz's plover,Charadriidae,Charadriiformes,Charadrius
Kurdish wheatear,Muscicapidae,Passeriformes,Oenanthe
Lanner falcon,Falconidae,Falconiformes,Falco
Lappet-faced vulture,Accipitridae,Accipitriformes,Torgos
Laughing dove,Columbidae,Columbiformes,Spilopelia
Leach's storm petrel,Hydrobatidae,Procellariiformes,Oceanodroma
Lesser black-backed gull,Laridae,Charadriiformes,Larus
Lesser crested tern,Laridae,Charadriiformes,Thalasseus
Lesser flamingo,Phoenicopteridae,Phoenicopteriformes,Phoeniconaias
Lesser frigatebird,Fregatidae,Suliformes,Fregata
Lesser grey shrike,Laniidae,Passeriformes,Lanius
Lesser kestrel,Falconidae,Falconiformes,Falco
Lesser sand plover,Charadriidae,Charadriiformes,Charadrius
Lesser short-toed lark,Alaudidae,Passeriformes,Alaudala
Lesser spotted eagle,Accipitridae,Accipitriformes,Clanga
Lesser whistling duck,Anatidae,Anseriformes,Dendrocygna
Lesser white-fronted goose,Anatidae,Anseriformes,Anser
Lesser whitethroat,Sylviidae,Passeriformes,Curruca
Lesser yellowlegs,Scolopacidae,Charadriiformes,Tringa
Levant sparrowhawk,Accipitridae,Accipitriformes,Accipiter
Lichtenstein's sandgrouse,Pteroclidae,Columbiformes,Pterocles
Little bittern,Ardeidae,Pelecaniformes,Ixobrychus
Little bunting,Emberizidae,Passeriformes,Emberiza
Little bustard,Otididae,Otidiformes,Tetrax
Little crake,Rallidae,Gruiformes,Zapornia
Little egret,Ardeidae,Pelecaniformes,Egretta
,,,
Little gull,Laridae,Charadriiformes,Hydrocoloeus
Little owl,Strigidae,Strigiformes,Athene
Little ringed plover,Charadriidae,Charadriiformes,Charadrius
Little stint,Scolopacidae,Charadriiformes,Calidris
Little swift,Apodidae,Apodiformes,Apus
Little tern,Laridae,Charadriiformes,Sternula
Long-billed dowitcher,Scolopacidae,Charadriiformes,Limnodromus
Long-billed pipit,Motacillidae,Passeriformes,Anthus
Long-eared owl,Strigidae,Strigiformes,Asio
Long-legged buzzard,Accipitridae,Accipitriformes,Buteo
Long-tailed duck,Anatidae,Anseriformes,Clangula
Long-tailed jaeger,Stercorariidae,Charadriiformes,Stercorarius
Long-tailed shrike,Laniidae,Passeriformes,Lanius
Long-toed stint,Scolopacidae,Charadriiformes,Calidris
MacQueen's bustard,Otididae,Otidiformes,Chlamydotis
Band-rumped storm petrel,Hydrobatidae,Procellariiformes,Oceanodroma
Mallard,Anatidae,Anseriformes,Anas
Manx shearwater,Procellariidae,Procellariiformes,Puffinus
Marabou stork,Ciconiidae,Ciconiiformes,Leptoptilos
Marbled duck,Anatidae,Anseriformes,Marmaronetta
Marsh sandpiper,Scolopacidae,Charadriiformes,Tringa
Marsh warbler,Acrocephalidae,Passeriformes,Acrocephalus
Masked booby,Sulidae,Suliformes,Sula
Masked shrike,Laniidae,Passeriformes,Lanius
Meadow pipit,Motacillidae,Passeriformes,Anthus
Mediterranean gull,Laridae,Charadriiformes,Ichthyaetus
Merlin,,,
Common gull,Laridae,Charadriiformes,Larus
Mistle thrush,Turdidae,Passeriformes,Turdus
Monk parakeet,Psittacidae,Psittaciformes,Myiopsitta
Montagu's harrier,Accipitridae,Accipitriformes,Circus
Mountain chiffchaff,Phylloscopidae,Passeriformes,Phylloscopus
Mourning wheatear,Muscicapidae,Passeriformes,Oenanthe
Moustached warbler,Acrocephalidae,Passeriformes,Acrocephalus
Mute swan,Anatidae,Anseriformes,Cygnus
Bad title,,,
Namaqua dove,Columbidae,Columbiformes,Oena
Nanday parakeet,Psittacidae,Psittaciformes,Aratinga
Northern bald ibis,Threskiornithidae,Pelecaniformes,Geronticus
Northern gannet,Sulidae,Suliformes,Morus
